"Isolate_Id","Subtype","Submitting_Lab","Originating_Lab"
"KP019926","A/H1N1pdm09","Fujian Center for Disease Control and Prevention, Prevention of Virus",NA
"MH329066","A/H1N1pdm09","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",NA
"EPI_ISL_172653","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"EPI_ISL_170187","A/H1N1pdm09","National Institute for Medical Research","Government Virus Unit"
"EPI_ISL_169757","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_178240","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_219908","A/H1N1pdm09",NA,NA
"MH329064","A/H1N1pdm09","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",NA
"EPI_ISL_170186","A/H1N1pdm09","National Institute for Medical Research","Government Virus Unit"
"KP019931","A/H1N1pdm09","Fujian Center for Disease Control and Prevention, Prevention of Virus",NA
"EPI_ISL_164790","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"EPI_ISL_178244","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_219902","A/H1N1pdm09",NA,NA
"EPI_ISL_168744","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_219905","A/H1N1pdm09",NA,NA
"EPI_ISL_164781","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"KY888630","A/H1N1pdm09","Jiangxi Province Center for Disease Control and Prevention",NA
"EPI_ISL_334456","A/H1N1pdm09","WHO Chinese National Influenza Center","Shanghai Municipal Center for Disease Control and Prevention"
"KY888627","A/H1N1pdm09","Jiangxi Province Center for Disease Control and Prevention",NA
"MH329112","A/H1N1pdm09","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",NA
"EPI_ISL_212604","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_207760","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_212603","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_212600","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"MH329129","A/H1N1pdm09","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",NA
"EPI_ISL_212601","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"KY888617","A/H1N1pdm09","Jiangxi Province Center for Disease Control and Prevention",NA
"KY888614","A/H1N1pdm09","Jiangxi Province Center for Disease Control and Prevention",NA
"KY888624","A/H1N1pdm09","Jiangxi Province Center for Disease Control and Prevention",NA
"KY273036","A/H1N1pdm09","Xiamen University, School of Life Sciences",NA
"EPI_ISL_237888","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","WHO Chinese National Influenza Center"
"MH329164","A/H1N1pdm09","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",NA
"KY950100","A/H1N1pdm09","The Johns Hopkins Center for Excellence in Influenza Research and Surveillance (JH-CEIRS)",NA
"EPI_ISL_225321","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_223469","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_225336","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"KY487340","A/H1N1pdm09","The Johns Hopkins Center for Excellence in Influenza Research and Surveillance (JH-CEIRS)",NA
"KY648955","A/H1N1pdm09","National Key Laboratory of Respiratory Diseases, National Clinical Research Center for Respiratory Diseases, Guangzhou Institute of Respiratory Disease, the First Affiliated Hospital of Guangzhou Medical University, Respiratory Department",NA
"EPI_ISL_223456","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_278737","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"KY648953","A/H1N1pdm09","National Key Laboratory of Respiratory Diseases, National Clinical Research Center for Respiratory Diseases, Guangzhou Institute of Respiratory Disease, the First Affiliated Hospital of Guangzhou Medical University, Respiratory Department",NA
"EPI_ISL_227401","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"KY487336","A/H1N1pdm09","The Johns Hopkins Center for Excellence in Influenza Research and Surveillance (JH-CEIRS)",NA
"EPI_ISL_224142","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"EPI_ISL_225329","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"KY487767","A/H1N1pdm09","The Johns Hopkins Center for Excellence in Influenza Research and Surveillance (JH-CEIRS)",NA
"EPI_ISL_237726","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"MH329095","A/H1N1pdm09","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",NA
"EPI_ISL_275656","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"EPI_ISL_278555","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_278559","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_260149","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_290607","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_277399","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","Center for Disease Control"
"EPI_ISL_292785","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_312222","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Laboratorio De Saude Publico"
"EPI_ISL_390545","A/H1N1pdm09","First Affiliated Hospital Medical School of Zhejiang University","The First Affiliated Hospital, College of Medicine, Zhejiang University"
"EPI_ISL_278554","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_278560","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_268704","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_304284","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"EPI_ISL_278685","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_270656","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_1652536","A/H1N1pdm09","Ningbo International Travel Healthcare Center","Ningbo international travel healthcare center"
"EPI_ISL_314201","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_314211","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_390512","A/H1N1pdm09","First Affiliated Hospital Medical School of Zhejiang University","The First Affiliated Hospital, College of Medicine, Zhejiang University"
"EPI_ISL_344343","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_344318","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_344377","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_344303","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_390499","A/H1N1pdm09","First Affiliated Hospital Medical School of Zhejiang University","The First Affiliated Hospital, College of Medicine, Zhejiang University"
"EPI_ISL_390507","A/H1N1pdm09","First Affiliated Hospital Medical School of Zhejiang University","The First Affiliated Hospital, College of Medicine, Zhejiang University"
"EPI_ISL_322062","A/H1N1pdm09","Hong Kong Department of Health","Hong Kong Department of Health"
"EPI_ISL_344346","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_332114","A/H1N1pdm09","Hong Kong Department of Health","Hong Kong Department of Health"
"EPI_ISL_334970","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_409506","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"EPI_ISL_365649","A/H1N1pdm09","Institut Pasteur of Shanghai, CAS","Institut Pasteur of Shanghai"
"EPI_ISL_417058","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","Center for Disease Control"
"EPI_ISL_341865","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_367214","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_402332","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_337328","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_365668","A/H1N1pdm09","Institut Pasteur of Shanghai, CAS","Institut Pasteur of Shanghai"
"EPI_ISL_365660","A/H1N1pdm09","Institut Pasteur of Shanghai, CAS","Institut Pasteur of Shanghai"
"EPI_ISL_377242","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_402280","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_402375","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_367228","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_485486","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_485447","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"OP862721","A/H1N1pdm09","USAMD-AFRIMS, Virology",NA
"EPI_ISL_141549","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Institut Penyelidikan Perubatan"
"KT181062","A/H1N1pdm09","Duke-NUS Graduate Medical School Singapore, Program in Emerging Infectious Diseases",NA
"EPI_ISL_264218","A/H1N1pdm09","Niigata University (DPH)",NA
"KT181065","A/H1N1pdm09","Duke-NUS Graduate Medical School Singapore, Program in Emerging Infectious Diseases",NA
"KP637366","A/H1N1pdm09","Armed Forces Research Institute of Medical Sciences (AFRIMS), Enteric Diseases",NA
"EPI_ISL_219293","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Ministry of Health, Singapore"
"KP941686","A/H1N1pdm09","Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics",NA
"EPI_ISL_141555","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","WHO National Influenza Centre, National Institute of Medical Research (NIMR)"
"EPI_ISL_128691","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Ministry of Health, Singapore"
"EPI_ISL_390851","A/H1N1pdm09","Thai National Influenza Center","Thai National Influenza Center"
"KT181066","A/H1N1pdm09","Duke-NUS Graduate Medical School Singapore, Program in Emerging Infectious Diseases",NA
"KT181058","A/H1N1pdm09","Duke-NUS Graduate Medical School Singapore, Program in Emerging Infectious Diseases",NA
"EPI_ISL_264202","A/H1N1pdm09","Niigata University (DPH)",NA
"KT181063","A/H1N1pdm09","Duke-NUS Graduate Medical School Singapore, Program in Emerging Infectious Diseases",NA
"EPI_ISL_166899","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_169137","A/H1N1pdm09","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_153034","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","Ministry of Health Laos"
"EPI_ISL_161861","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","WHO National Influenza Centre, National Institute of Medical Research (NIMR)"
"EPI_ISL_145256","A/H1N1pdm09","Centers for Disease Control and Prevention","National Institute of Hygiene and Epidemiology"
"EPI_ISL_177549","A/H1N1pdm09","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_177547","A/H1N1pdm09","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_240629","A/H1N1pdm09","Institut Pasteur du Cambodia","Institut Pasteur du Cambodia"
"KP941696","A/H1N1pdm09","Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics",NA
"EPI_ISL_159354","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_173295","A/H1N1pdm09","Niigata University (DPH)",NA
"EPI_ISL_167054","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"OP925959","A/H1N1pdm09","USAMD-AFRIMS, Virology",NA
"EPI_ISL_166897","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"OP862726","A/H1N1pdm09","USAMD-AFRIMS, Virology",NA
"EPI_ISL_240600","A/H1N1pdm09","Institut Pasteur du Cambodia","Institut Pasteur du Cambodia"
"KU144591","A/H1N1pdm09","Faculty of Medical Technology, Mahidol University",NA
"KP941711","A/H1N1pdm09","Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics",NA
"MH828533","A/H1N1pdm09","University of Edinburgh, Centre for Immunity, Infection and Evolution",NA
"OP614963","A/H1N1pdm09","USAMD-AFRIMS, Virology",NA
"EPI_ISL_166159","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Institut Penyelidikan Perubatan"
"KP941732","A/H1N1pdm09","Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics",NA
"KP941729","A/H1N1pdm09","Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics",NA
"EPI_ISL_166271","A/H1N1pdm09","Centers for Disease Control and Prevention","National Public Health Laboratory"
"OP614964","A/H1N1pdm09","USAMD-AFRIMS, Virology",NA
"EPI_ISL_168048","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","Ministry of Health Laos"
"MN382301","A/H1N1pdm09","National University of Singapore, Microbiology & Immunology",NA
"OP623002","A/H1N1pdm09","USAMD-AFRIMS, Virology",NA
"OP622997","A/H1N1pdm09","USAMD-AFRIMS, Virology",NA
"EPI_ISL_166900","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"KP941725","A/H1N1pdm09","Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics",NA
"KU144589","A/H1N1pdm09","Faculty of Medical Technology, Mahidol University",NA
"EPI_ISL_195802","A/H1N1pdm09","Centers for Disease Control and Prevention","WHO National Influenza Centre, National Institute of Medical Research (NIMR)"
"EPI_ISL_214373","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_214504","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_215180","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_214872","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_214455","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_221658","A/H1N1pdm09","Centers for Disease Control and Prevention","National Institute of Hygiene and Epidemiology"
"EPI_ISL_214848","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_223350","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institute, Influenza Laboratory"
"EPI_ISL_214353","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_214847","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_264241","A/H1N1pdm09","Niigata University (DPH)",NA
"EPI_ISL_194923","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","Ministry of Health Laos"
"EPI_ISL_214560","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_214862","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"OP623005","A/H1N1pdm09","USAMD-AFRIMS, Virology",NA
"EPI_ISL_240806","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_240804","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_270239","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","National Center for Laboratory and Epidemiology"
"EPI_ISL_268434","A/H1N1pdm09","Centers for Disease Control and Prevention","National Institute of Hygiene and Epidemiology"
"EPI_ISL_230447","A/H1N1pdm09","Centers for Disease Control and Prevention","WHO National Influenza Centre, National Institute of Medical Research (NIMR)"
"EPI_ISL_240246","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_226995","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_246689","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","Ministry of Health Laos"
"EPI_ISL_269962","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_248943","A/H1N1pdm09","Centers for Disease Control and Prevention","WHO National Influenza Centre, National Institute of Medical Research (NIMR)"
"EPI_ISL_227051","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_249945","A/H1N1pdm09","Centers for Disease Control and Prevention","WHO National Influenza Centre, National Institute of Medical Research (NIMR)"
"EPI_ISL_270227","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","National Center for Laboratory and Epidemiology"
"EPI_ISL_226993","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_227002","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_227043","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_333411","A/H1N1pdm09","Niigata University (DPH)",NA
"EPI_ISL_269613","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_281338","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_281337","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"MT803151","A/H1N1pdm09","Chulalongkorn University, Department of Pediatrics, Center of Excellence in Clinical Virology",NA
"EPI_ISL_254668","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_333356","A/H1N1pdm09","Niigata University (DPH)",NA
"EPI_ISL_282304","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Institute Pasteur du Cambodia"
"EPI_ISL_269928","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_299720","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Research Institute of Tropical Medicine"
"EPI_ISL_321680","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_312203","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Institut Penyelidikan Perubatan"
"EPI_ISL_299614","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","University Malaya"
"EPI_ISL_281339","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_322990","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Institut Penyelidikan Perubatan"
"EPI_ISL_269626","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_364127","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_340705","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","National Center for Laboratory and Epidemiology"
"EPI_ISL_313588","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_360195","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","National Center for Laboratory and Epidemiology"
"EPI_ISL_352388","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","National Center for Laboratory and Epidemiology"
"EPI_ISL_321480","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Institute Pasteur du Cambodia"
"EPI_ISL_321692","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_360218","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","National Center for Laboratory and Epidemiology"
"EPI_ISL_360201","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","National Center for Laboratory and Epidemiology"
"EPI_ISL_331477","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_319659","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Institute Pasteur du Cambodia"
"EPI_ISL_354347","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_363635","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_352369","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","National Center for Laboratory and Epidemiology"
"EPI_ISL_360174","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","National Center for Laboratory and Epidemiology"
"EPI_ISL_390412","A/H1N1pdm09","Centers for Disease Control and Prevention","WHO National Influenza Centre, National Institute of Medical Research (NIMR)"
"EPI_ISL_525494","A/H1N1pdm09","Niigata University","Niigata University (DPH)"
"EPI_ISL_1296415","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institute, Influenza Laboratory"
"EPI_ISL_1296410","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institute, Influenza Laboratory"
"EPI_ISL_401471","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_395278","A/H1N1pdm09","Centers for Disease Control and Prevention","National Institute of Hygiene and Epidemiology"
"EPI_ISL_398766","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_406962","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Research Institute of Tropical Medicine"
"EPI_ISL_377000","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","National Health Laboratory"
"EPI_ISL_398680","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_406651","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","R.I.P.A.S. Hospital, Department of Laboratory Services"
"EPI_ISL_1296420","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institute, Influenza Laboratory"
"EPI_ISL_449769","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_510023","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Ministry of Health, NIHRD"
"EPI_ISL_398230","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_514726","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Ministry of Health, NIHRD"
"EPI_ISL_453788","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Institut Penyelidikan Perubatan"
"EPI_ISL_481302","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_766948","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_528772","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","R.I.P.A.S. Hospital, Department of Laboratory Services"
"EPI_ISL_644636","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Ministry of Health, NIHRD"
"EPI_ISL_766952","A/H1N1pdm09","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_481308","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_481321","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_644646","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","R.I.P.A.S. Hospital, Department of Laboratory Services"
"EPI_ISL_16520285","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_16520278","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_16520279","A/H1N1pdm09","Ministry of Health, Singapore","Ministry of Health, Singapore"
"KY925893","A/H1N1pdm09","Center for Research on Influenza Pathogenesis (CRIP)",NA
"KY926045","A/H1N1pdm09","Center for Research on Influenza Pathogenesis (CRIP)",NA
"KY926205","A/H1N1pdm09","Center for Research on Influenza Pathogenesis (CRIP)",NA
"KY926120","A/H1N1pdm09","Center for Research on Influenza Pathogenesis (CRIP)",NA
"KY925078","A/H1N1pdm09","Center for Research on Influenza Pathogenesis (CRIP)",NA
"EPI_ISL_148731","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Adolfo Lutz"
"EPI_ISL_145104","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_145093","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_178786","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_178872","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_178874","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"KY926272","A/H1N1pdm09","Center for Research on Influenza Pathogenesis (CRIP)",NA
"EPI_ISL_178754","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_178787","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"KF041894","A/H1N1pdm09","Instituto Evandro Chagas, Virology",NA
"EPI_ISL_178894","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_148735","A/H1N1pdm09","Centers for Disease Control and Prevention","INSPI"
"EPI_ISL_145526","A/H1N1pdm09","Centers for Disease Control and Prevention","NAMRU-6"
"EPI_ISL_178892","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_178945","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","LACEN/SE - Laboratório Central de Saúde Pública de Sergipe - Instituto Parreira Horta"
